ObjectID,origin_id,destination_id,OriginID,DestinationID,DestinationRank,total_cost
1477,GH_A1114A1,ST_A194A1,1,198,139,16269.766944194304000
1478,GH_A1114A1,VAISALACCTV51,1,224,140,16315.286332134421000
1479,GH_A1114A1,ST_A1300A1,1,190,141,16433.940979104660000
1480,GH_A1114A1,SL_A183L1,1,171,142,16698.824267681808000
1481,GH_A1114A1,ST_B1298B1,1,204,143,16883.893341280815000
1482,GH_A1114A1,NT_A1058F1,1,125,144,16989.178992824589000
1483,GH_A1114A1,ST_B1298A1,1,203,145,17296.971133646326000
1484,GH_A1114A1,NT_A191G1,1,135,146,17748.910010801865000
1485,GH_A1114A1,ST_A1300B1,1,191,147,18135.931700633209000
1486,GH_A1114A1,ST_A1018B1,1,187,148,18286.546198217504000
1487,GH_A1114A1,ST_B1344A1,1,206,149,18582.953565257256000
1488,GH_A1114A1,ST_A1018A1,1,186,150,18639.107198142603000
1489,GH_A1114A1,ST_A1300C1,1,192,151,18816.089482201281000
1490,GH_A1114A1,METCCTV00007,1,54,152,18823.016949379104000
1491,GH_A1114A1,ST_A183A1,1,193,153,18943.293587782537000
1492,GH_A1114A1,SL_A1231E1,1,155,154,19048.721792261149000
1493,GH_A1114A1,SL_A1018C1,1,151,155,19550.028753551920000
1494,GH_A1114A1,NT_A193E1,1,138,156,19558.022296621537000
1495,GH_A1114A1,NT_A193D1,1,137,157,19620.279068736811000
1496,GH_A1114A1,SL_A1290E1,1,159,158,19712.082751290694000
1497,GH_A1114A1,SL_A690F1,1,176,159,20134.604374236515000
1498,GH_A1114A1,NB_A1068B1,1,73,160,20171.328165010822000
1499,GH_A1114A1,NT_A193C1,1,136,161,20415.625879632906000
1500,GH_A1114A1,SL_A1018D1,1,152,162,20548.969274080115000
1501,GH_A1114A1,SL_A690G1,1,177,163,20741.823704219551000
1502,GH_A1114A1,SL_A690D1,1,175,164,20772.613098217236000
1503,GH_A1114A1,SL_A183A2,1,161,165,20821.743544669418000
1504,GH_A1114A1,SL_A183I1,1,170,166,20900.027588516907000
1505,GH_A1114A1,SL_A1018E1,1,153,167,20966.279577721027000
1506,GH_A1114A1,SL_B1284A1,1,178,168,20976.586948217810000
1507,GH_A1114A1,SL_A183F1,1,167,169,21048.866874827898000
1508,GH_A1114A1,SL_A183A3,1,162,170,21103.257919246502000
1509,GH_A1114A1,NB_A1061A1,1,70,171,21198.362787258098000
1510,GH_A1114A1,SL_A183E1,1,166,172,21207.729609513066000
1511,GH_A1114A1,SL_A183D1,1,165,173,21336.180843569418000
1512,GH_A1114A1,SL_A183B1,1,163,174,21338.376003221121000
1513,GH_A1114A1,SL_A183C1,1,164,175,21434.722987509042000
1514,GH_A1114A1,SL_A690A1,1,172,176,21487.938818622697000
1515,GH_A1114A1,SL_HLRB1,1,185,177,21535.821304722995000
1516,GH_A1114A1,SL_HLRA1,1,184,178,21553.072847003918000
1517,GH_A1114A1,SL_A183G1,1,168,179,21660.865388743605000
1518,GH_A1114A1,NB_A189A2,1,76,180,21664.694420317384000
