Sensor Name,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Third Party,Sensor Centroid Longitude,Sensor Centroid Latitude
PER_PEOPLE-FTP_METCCTV00002,POINT (-1.699442 55.0275035),73.3499984741211,2.0,people-ftp,False,-1.699442,55.0275035
PER_PEOPLE-FTP_SL_A1018F1,POINT (-1.368697 54.9016735),18.9200000762939,2.0,people-ftp,False,-1.368697,54.9016735
PER_PEOPLE-FTP_MCJ05111,POINT (-1.673312 54.959892),7.96000003814697,2.0,people-ftp,False,-1.673312,54.959892
PER_PEOPLE-FTP_GH_B1426E1,POINT (-1.581513 54.954444),44.2299995422363,2.0,people-ftp,False,-1.581513,54.954444
PER_PEOPLE-FTP_NB_A192A1,POINT (-1.68494 55.1645875),30.4099998474121,2.0,people-ftp,False,-1.68494,55.1645875
PER_PEOPLE-FTP_METCCTV00011,POINT (-1.659593 54.952473),15.5699996948242,2.0,people-ftp,False,-1.659593,54.952473
PER_PEOPLE-FTP_NC_A193J1,POINT (-1.561677 54.9839608),33.0299987792969,2.0,people-ftp,False,-1.561677,54.9839608
PER_PEOPLE-FTP_NB_A1068B1,POINT (-1.617836 55.1055455),57.3899993896484,2.0,people-ftp,False,-1.617836,55.1055455
PER_PEOPLE-FTP_NC_A167C1,POINT (-1.657225 54.9898686),110.629997253418,2.0,people-ftp,False,-1.657225,54.9898686
PER_PEOPLE-FTP_ST_A185B1,POINT (-1.479627 54.9774828),6.69000005722046,2.0,People ftp,False,-1.479627,54.9774828
PER_PEOPLE-FTP_SL_A183F1,POINT (-1.390885 54.9071525),35.9000015258789,2.0,people-ftp,False,-1.390885,54.9071525
PER_PEOPLE-FTP_GH_B1296C1,POINT (-1.581802 54.9346963),154.639999389648,2.0,people-ftp,False,-1.581802,54.9346963
PER_PEOPLE-FTP_VAISALACCTV59,POINT (-2.223235 54.5220457),373.489990234375,2.0,People ftp,False,-2.223235,54.5220457
PER_PEOPLE-FTP_GH_A695D1,POINT (-1.68825 54.9654311),3.52999997138977,2.0,people-ftp,False,-1.68825,54.9654311
PER_PEOPLE-FTP_TT2NORTH2,POINT (-1.478937 54.975603),2.39000010490417,2.0,People ftp,False,-1.478937,54.975603
PER_PEOPLE-FTP_GH_A167O1,POINT (-1.577481 54.8981107),46.4000015258789,2.0,people-ftp,False,-1.577481,54.8981107
PER_PEOPLE-FTP_VAISALACCTV30,POINT (-1.394708 54.5478149),31.7399997711182,2.0,People ftp,False,-1.394708,54.5478149
PER_PEOPLE-FTP_GH_A167J1,POINT (-1.59972 54.9370458),87.5899963378906,2.0,people-ftp,False,-1.59972,54.9370458
PER_PEOPLE-FTP_NC_B1318B1,POINT (-1.620291 55.0038375),66.5699996948242,2.0,people-ftp,False,-1.620291,55.0038375
PER_PEOPLE-FTP_SL_A183A3,POINT (-1.368309 54.9372993),8.47000026702881,2.0,people-ftp,False,-1.368309,54.9372993
PER_PEOPLE-FTP_MCJ05171,POINT (-1.673522 54.959762),7.40000009536743,2.0,people-ftp,False,-1.673522,54.959762
PER_PEOPLE-FTP_NC_A695E1,POINT (-1.674032 54.9660812),4.28000020980835,2.0,people-ftp,False,-1.674032,54.9660812
PER_PEOPLE-FTP_NT_A1058E2,POINT (-1.46999 55.0149185),59.3699989318848,2.0,people-ftp,False,-1.46999,55.0149185
PER_PEOPLE-FTP_GH_A692A1,POINT (-1.638705 54.9394449),62.6300010681152,2.0,people-ftp,False,-1.638705,54.9394449
PER_PEOPLE-FTP_NC_A188C1,POINT (-1.575595 54.9829807),42.6100006103516,2.0,people-ftp,False,-1.575595,54.9829807
PER_PEOPLE-FTP_SL_B1522B1,POINT (-1.366297 54.8849055),33.5800018310547,2.0,People ftp,False,-1.366297,54.8849055
